Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
By the Sea,05-11-2015,Drama,Angelina Jolie,,Angelina Jolie,Brad Pitt,MÃ©lanie Laurent,Niels Arestrup,Melvil Poupaud,"$10,000,000.00","$3,300,000.00"
Captain America: The Winter Soldier,13-03-2014,Action,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,"$170,000,000.00","$714,400,000.00"
Captive,18-09-2015,Crime,Jerry Jameson,,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,"$2,000,000.00","$2,800,000.00"
Carol,17-05-2015,Drama,Todd Haynes,,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,"$11,800,000.00","$40,300,000.00"
Central Intelligence,10-06-2016,Action,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,,"$50,000,000.00","$212,200,000.00"
Cesar Chavez,12-02-2014,Drama,Diego Luna,,Michael PeÃ±a,America Ferrera,Rosario Dawson,John Malkovich,,"$10,000,000.00","$6,700,000.00"
Chappie,04-03-2015,Sci-Fi,Neill Blomkamp,,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,"$49,000,000.00","$102,100,000.00"
Chasing Mavericks,26-10-2012,Biography,Curtis Hanson,Michael Apted,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,,"$20,000,000.00","$8,300,000.00"
Chef,07-03-2014,Comedy,Jon Favreau,,Jon Favreau,SofÃ­a Vergara,Scarlett Johansson,John Leguizamo,Robert Downey,"$11,000,000.00","$46,000,000.00"
Chernobyl Diaries,25-05-2012,Horror,Bradley Parker,,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Olivia Taylor Dudley,Nathan Phillips,"$1,000,000.00","$37,200,000.00"
