Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
Silver Linings Playbook,16-11-2012,Drama,David O. Russell,,Bradley Cooper,Jennifer Lawrence,Brea Bee,Robert De Niro,Jacki Weaver,"$21,000,000.00","$236,400,000.00"
Sin City: A Dame to Kill For,19-08-2014,Crime,Frank Miller,Robert Rodriguez,Jessica Alba,Powers Boothe,Josh Brolin,Rosario Dawson,Joseph Gordon-Levitt,"$65,000,000.00","$39,400,000.00"
Sinister,12-10-2012,Horror,Scott Derrickson,,Ethan Hawke,Juliet Rylance,Fred Thompson,Vincent D'Onofrio,,"$3,000,000.00","$77,700,000.00"
Sinister 2,21-08-2015,Horror,Ciaran Foy,,James Ransone,Shannyn Sossamon,,,,"$10,000,000.00","$52,900,000.00"
Sisters,18-12-2015,Comedy,Jason Moore,,Amy Poehler,Tina Fey,John Cena,Maya Rudolph,,"$30,000,000.00","$105,000,000.00"
Snitch,22-02-2013,Action,Ric Roman Waugh,,Dwayne Johnson,Susan Sarandon,Benjamin Bratt,Barry Pepper,,"$15,000,000.00","$57,800,000.00"
Snow White and the Huntsman,01-06-2012,Action,Rupert Sanders,,Charlize Theron,Kristen Stewart,Chris Hemsworth,Sam Spruell,Ian McShane,"$170,000,000.00","$396,600,000.00"
Son of God,28-02-2014,Drama,Christopher Spencer,,Diogo Morgado,Roma Downey,Darwin Shaw,,,"$22,000,000.00","$67,800,000.00"
Son of Saul,15-05-2015,Drama,LÃ¡szlÃ³ Nemes,,GÃ©za RÃ¶hrig,,,,,"$1,500,000.00","$6,200,000.00"
Southpaw,15-06-2015,Drama,Antoine Fuqua,,Jake Gyllenhaal,Rachel McAdams,Naomie Harris,Forest Whitaker,Victor Ortiz,"$30,000,000.00","$92,000,000.00"
Spotlight,03-09-2015,Drama,Tom McCarthy,,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,"$20,000,000.00","$88,300,000.00"
Spy,15-05-2015,Action,Paul Feig,,Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale,"$65,000,000.00","$235,700,000.00"
St. Vincent,05-09-2014,Comedy,Theodore Melfi,,Bill Murray,Melissa McCarthy,Naomi Watts,Chris O'Dowd,Kimberly Quinn,"$13,000,000.00","$54,800,000.00"
Stand by Me Doraemon,08-08-2014,Animation,Takashi Yamazaki,Ryuichi Yagi,Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Tomokazu Seki,Subaru Kimura,"$35,000,000.00","$196,400,000.00"
Star Trek Beyond,22-07-2016,Action,Justin Lin,,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,John Cho,"$185,000,000.00","$243,000,000.00"
Step Up: All In,08-08-2014,Drama,Trish Sie,,Ryan Guzman,Briana Evigan,Alyson Stoner,Adam Sevani,Mari Koda,"$45,000,000.00","$86,200,000.00"
Steve Jobs,05-09-2015,Biography,Danny Boyle,,Michael Fassbender,Seth Rogen,Kate Winslet,Jeff Daniels,Katherine Waterston,"$30,000,000.00","$34,400,000.00"
Straight Outta Compton,11-08-2015,Biography,F. Gary Gray,,O'Shea Jackson,Jr.,Corey Hawkins,Jason Mitchell,Aldis Hodge,"$50,000,000.00","$201,600,000.00"
Suffragette,04-09-2015,Drama,Sarah Gavron,,Carey Mulligan,Helena Bonham Carter,Meryl Streep,Ben Whishaw,Brendan Gleeson,"$14,000,000.00","$32,000,000.00"
Suicide Squad,05-08-2016,Action,David Ayer,,Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,"$175,000,000.00","$636,700,000.00"
Taken 2,05-10-2012,Action,Olivier Megaton,,Liam Neeson,Famke Janssen,Maggie Grace,Rade Sherbedgia,Luke Grimes,"$43,000,000.00","$376,100,000.00"
Tammy,02-07-2014,Comedy,Ben Falcone,,Melissa McCarthy,Susan Sarandon,Allison Janney,Toni Collette,Sandra Oh,"$20,000,000.00","$100,500,000.00"
Ted,29-06-2012,Comedy,Seth MacFarlane,,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Giovanni Ribisi,Joel McHale,"$51,000,000.00","$549,400,000.00"
Ted 2,24-06-2015,Comedy,Seth MacFarlane,,Alec Sulkin,Wellesley Wild(screenplay) Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Giovanni Ribisi,"$68,000,000.00","$216,700,000.00"
Teenage Mutant Ninja Turtles,29-07-2014,Action,Jonathan Liebesman,,Megan Fox,Johnny Knoxville,Alan Ritchson,Noel Fisher,Jeremy Howard,"$125,000,000.00","$493,300,000.00"
Teenage Mutant Ninja Turtles: Out of the Shadows,22-05-2016,Action,Dave Green,,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Brian Tee,"$135,000,000.00","$242,500,000.00"
Terminator Genisys,22-06-2015,Sci-Fi,Alan Taylor,,Arnold Schwarzenegger,J. K. Simmons,Emilia Clarke,Jason Clarke,Jai Courtney,"$155,000,000.00","$440,600,000.00"
Texas Chainsaw 3D,04-01-2013,Horror,John Luessenhop,,Alexandra Daddario,Dan Yeager,Trey Songz,Scott Eastwood,Tania Raymonde,"$20,000,000.00","$47,200,000.00"
That Awkward Moment,27-01-2014,Comedy,Tom Gormican,,Zac Efron,Michael B. Jordan,Miles Teller,Imogen Poots,Jessica Lucas,"$8,000,000.00","$40,500,000.00"
The 33,06-08-2015,Drama,Patricia Riggen,,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,James Brolin,Lou Diamond Phillips,"$26,000,000.00","$24,900,000.00"
The 5th Wave,22-01-2016,Sci-Fi,J Blakeson,,ChloÃ« Grace Moretz,Nick Robinson,Alex Roe,Liev Schreiber,Maika Monroe,"$35,000,000.00","$110,700,000.00"
The Age of Adaline,24-04-2015,Romance,Lee Toland Krieger,,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Amanda Crew,"$25,000,000.00","$65,700,000.00"
The Amazing Spider-Man,03-07-2012,Action,Marc Webb,,Andrew Garfield,Emma Stone,Max Charles,Martin Sheen,Sally Field,"$230,000,000.00","$757,900,000.00"
The Angry Birds Movie,05-05-2016,Comedy,Clay Kaytis,Fergal Reilly,Jason Sudeikis,Josh Gad,Danny McBride,Bill Hader,Maya Rudolph,"$73,000,000.00","$346,900,000.00"
The Best Exotic Marigold Hotel â‚ª,04-05-2012,Comedy,John Madden,,Judi Dench,Bill Nighy,Dev Patel,Tom Wilkinson,Maggie Smith,"$10,000,000.00","$136,800,000.00"
The Big Short,11-12-2015,Biography,Adam McKay,,Religious Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,"$28,000,000.00","$133,300,000.00"
The Bling Ring,14-06-2013,Comedy,Sofia Coppola,,Emma Watson,Israel Broussard,Katie Chang,Claire Julien,Taissa Farmiga,"$8,000,000.00","$19,100,000.00"
The Book of Life,12-10-2014,Family,Jorge R. Gutierrez,,Christina Applegate,Diego Luna,Zoe Saldana,Channing Tatum,,"$50,000,000.00","$99,800,000.00"
The Boss,08-04-2016,Comedy,Ben Falcone,,Melissa McCarthy,Kristen Bell,Peter Dinklage,Tyler Labine,Kristen Schaal,"$29,000,000.00","$78,600,000.00"
The Bourne Legacy,10-08-2012,Action,Tony Gilroy,,Jeremy Renner,Rachel Weisz,Edward Norton,Oscar Isaac,Joan Allen,"$125,000,000.00","$276,100,000.00"
The Boxtrolls,31-08-2014,Family,Anthony Stacchi,Graham Annable,Ben Kingsley,Toni Collette,Elle Fanning,Isaac Hempstead-Wright,Jared Harris,"$60,000,000.00","$109,300,000.00"
The Boy,22-01-2016,Horror,William Brent Bell,,Lauren Cohan,Rupert Evans,Jim Norton,Diana Hardcastle,,"$10,000,000.00","$64,200,000.00"
The Butler,16-08-2013,Drama,Lee Daniels,,Forest Whitaker,Oprah Winfrey,David Oyelowo,Liam Neeson,John Cusack,"$30,000,000.00","$176,600,000.00"
The Cabin in the Woods,13-04-2012,Horror,Drew Goddard,,Richard Jenkins,Bradley Whitford,Jesse Williams,Chris Hemsworth,Kristen Connolly,"$30,000,000.00","$66,500,000.00"
The Call,15-03-2013,Mystery,Brad Anderson,,Abigail Breslin,Halle Berry,Morris Chestnut,Michael Eklund,Michael Imperioli,"$13,000,000.00","$68,600,000.00"
The Campaign,10-08-2012,Comedy,Jay Roach,,Will Ferrell,Zach Galifianakis,Jason Sudeikis,Katherine LaNasa,Dylan McDermott,"$95,000,000.00","$104,900,000.00"
The Cold Light of Day,07-09-2012,Action,Mabrouk El Mechri,,Henry Cavill,Bruce Willis,Sigourney Weaver,Veronica Echegui,Roschoy Zem,"$20,000,000.00","$16,900,000.00"
The Collection,30-11-2012,Horror,Marcus Dunstan,,Josh Stewart,Emma Fitzpatrick,,,,"$10,000,000.00","$8,900,000.00"
The Conjuring,19-07-2013,Thriller,James Wan,,Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor,Shannon Kook,"$20,000,000.00","$318,000,000.00"
The Conjuring 2,07-06-2016,Horror,James Wan,,Patrick Wilson,Vera Farmiga,,,,"$40,000,000.00","$319,500,000.00"
The Croods,22-03-2013,Adventure,Chris Sanders,Kirk DeMicco,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,Clark Duke,"$135,000,000.00","$587,200,000.00"
The Danish Girl,05-09-2015,Drama,Tom Hooper,,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Ben Whishaw,,"$15,000,000.00","$64,200,000.00"
The Darkness,13-05-2016,Horror,Greg McLean,,Kevin Bacon,Radha Mitchell,David Mazouz,Lucy Fry,Matt Walsh,"$4,000,000.00","$10,900,000.00"
The Devil Inside,06-01-2012,Horror,William Brent Bell,,Suzan Crowley,Fernanda Andrade,Simon Quarterman,Evan Helmuth,,"$1,000,000.00","$101,800,000.00"
The Dictator,16-05-2012,Comedy,Larry Charles,,Sacha Baron Cohen,Ben Kingsley,Anna Faris,Megan Fox,John C. Reilly,"$65,000,000.00","$179,400,000.00"
The Divergent Series: Allegiant,18-03-2016,Adventure,Robert Schwentke,,Shailene Woodley,Theo James,Naomi Watts,Jeff Daniels,Ansel Elgort,"$110,000,000.00","$179,200,000.00"
The Divergent Series: Insurgent,19-03-2015,Sci-Fi,Robert Schwentke,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Naomi Watts,"$110,000,000.00","$297,300,000.00"
The Drop,12-09-2014,Drama,MichaÃ«l R. Roskam,,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,John Ortiz,"$12,600,000.00","$18,700,000.00"
The Duff,12-02-2015,Comedy,Ari Sandel,,Mae Whitman,Robbie Amell,Bella Thorne,Bianca A. Santos,Allison Janney,"$8,500,000.00","$43,500,000.00"
The East,31-05-2013,Crime,Zal Batmanglij,,Brit Marling,Alexander Skarsgard,Ellen Page,Julia Ormond,Patricia Clarkson,"$6,500,000.00","$2,400,000.00"
The Equalizer,07-09-2014,Thriller,Antoine Fuqua,,Denzel Washington,ChloÃ« Grace Moretz,Marton Csokas,David Harbour,Bill Pullman,"$55,000,000.00","$192,300,000.00"
The Expendables 2,17-08-2012,Action,Simon West,,Sylvester Stallone,Jason Statham,Dolph Lundgren,Terry Crews,Randy Couture,"$100,000,000.00","$305,400,000.00"
The Expendables 3,04-08-2014,Action,Patrick Hughes,,Sylvester Stallone,Arnold Schwarzenegger,Harrison Ford,Mel Gibson,Jason Statham,"$90,000,000.00","$206,200,000.00"
The Family,13-09-2013,Crime,Luc Besson,,Robert De Niro,Michelle Pfeiffer,Dianna Agron,Tommy Lee Jones,Vincent Pastore,"$30,000,000.00","$78,400,000.00"
The Fault in Our Stars,16-05-2014,Drama,Josh Boone,,Shailene Woodley,Ansel Elgort,,,,"$13,000,000.00","$307,200,000.00"
The Five-Year Engagement,27-04-2012,Comedy,Nicholas Stoller,,Jason Segel,Emily Blunt,Chris Pratt,Alison Brie,Rhys Ifans,"$30,000,000.00","$53,900,000.00"
The Forest,08-01-2016,Horror,Jason Zada,,Natalie Dormer,Taylor Kinney,,,,"$10,000,000.00","$37,600,000.00"
The Gift,30-07-2015,Thriller,Joel Edgerton,,Jason Bateman,Rebecca Hall,Joel Edgerton,,,"$5,000,000.00","$59,000,000.00"
The Giver,11-08-2014,Sci-Fi,Phillip Noyce,,Jeff Bridges,Brenton Thwaites,Meryl Streep,Alexander SkarsgÃ¥rd,Katie Holmes,"$25,000,000.00","$67,000,000.00"
The Grand Budapest Hotel,06-02-2014,Comedy,Wes Anderson,,Ralph Fiennes,Tony Revolori,F. Murray Abraham,Mathieu Amalric,Adrien Brody,"$23,000,000.00","$174,800,000.00"
The Great Gatsby,10-05-2013,Drama,Baz Luhrmann,,Leonardo DiCaprio,Tobey Maguire,Joel Edgerton,Carey Mulligan,Isla Fisher,"$105,000,000.00","$351,000,000.00"
The Grey,27-01-2012,Action,Joe Carnahan,,Liam Neeson,Frank Grillo,Dermot Mulroney,Dallas Roberts,,"$25,000,000.00","$77,300,000.00"
The Gunman,20-03-2015,Thriller,Pierre Morel,,Sean Penn,Javier Bardem,Ray Winstone,Idris Elba,Mark Rylance,"$40,000,000.00","$24,200,000.00"
The Hangover Part III,23-05-2013,Comedy,Todd Phillips,,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,Ken Jeong,"$103,000,000.00","$362,000,000.00"
The Hateful Eight,25-12-2015,Drama,Quentin Tarantino,,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Tim Roth,"$44,000,000.00","$155,800,000.00"
The Heat,28-06-2013,Action,Paul Feig,,Sandra Bullock,Melissa McCarthy,Kaitlin Olson,Tony Hale,Demian Bichir,"$43,000,000.00","$229,900,000.00"
The Hobbit: The Battle of the Five Armies,01-12-2014,Adventure,Peter Jackson,,Ian McKellen,Martin Freeman,Richard Armitage,Evangeline Lilly,Luke Evans,"$250,000,000.00","$956,000,000.00"
The Host,29-03-2013,Sci-Fi,Andrew Niccol,,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,William Hurt,"$40,000,000.00","$63,300,000.00"
The Hundred-Foot Journey,08-08-2014,Drama,Lasse HallstrÃ¶m,,Helen Mirren,Manish Dayal,,,,"$22,000,000.00","$88,900,000.00"
The Hunger Games,23-03-2012,Action,Gary Ross,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Wes Bentley,Elizabeth Banks,"$78,000,000.00","$694,400,000.00"
The Hunger Games: Mockingjay â€“ Part 1,10-11-2014,Sci-Fi,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Woody Harrelson,Julianne Moore,Donald Sutherland,"$125,000,000.00","$755,400,000.00"
The Hunger Games: Mockingjay â€“ Part 2,04-11-2015,Sci-Fi,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,"$160,000,000.00","$653,400,000.00"
The Huntsman: Winter's War,22-04-2016,Fantasy,Cedric Nicolas-Troyan,,Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,"$115,000,000.00","$164,600,000.00"
The Iceman,03-05-2013,Drama,Ariel Vromen,,Morgan Land (screenplay),Michael Shannon,Winona Ryder,Chris Evans,Ray Liotta,"$10,000,000.00","$4,400,000.00"
The Identical,17-04-2014,Religious,Dustin Marcellino,,Ray Liotta,Ashley Judd,Seth Green,Brian Geraghty,Joe Pantoliano,"$16,000,000.00","$2,800,000.00"
The Imitation Game,29-08-2014,Drama,Morten Tyldum,,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,"$14,000,000.00","$233,600,000.00"
The Impossible,21-12-2012,Drama,Juan Antonio Bayona,,Naomi Watts,Ewan McGregor,,,,"$45,000,000.00","$180,300,000.00"
The Incredible Burt Wonderstone,15-03-2013,Comedy,Don Scardino,,Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini,"$34,000,000.00","$27,400,000.00"
The Infiltrator,13-07-2016,Drama,Brad Furman,,Bryan Cranston,Diane Kruger,Benjamin Bratt,John Leguizamo,Amy Ryan,"$47,500,000.00","$15,200,000.00"
The Intern,15-09-2015,Comedy,Nancy Meyers,,Robert De Niro,Anne Hathaway,Rene Russo,Adam DeVine,Anders Holm,"$44,000,000.00","$194,600,000.00"
The Internship,07-06-2013,Comedy,Shawn Levy,,Vince Vaughn,Owen Wilson,Dylan O'Brien,Rose Byrne,Jessica Szohr,"$58,000,000.00","$93,000,000.00"
The Interview,11-12-2014,Action,Seth Rogen,Evan Goldberg,Seth Rogen,James Franco,Lizzy Caplan,,,"$44,000,000.00","$11,300,000.00"
The Judge,04-09-2014,Comedy,David Dobkin,,Robert Downey,Jr.,Robert Duvall,Vera Farmiga,Billy Bob Thornton,"$50,000,000.00","$84,400,000.00"
The Lady in the Van,04-12-2015,Comedy,Nicholas Hytner,,Maggie Smith,Alex Jennings,Jim Broadbent,Frances de la Tour,Roger Allam,"$6,000,000.00","$41,400,000.00"
The Last Exorcism Part II,01-03-2013,Horror,Ed Gass-Donnelly,,Ashley Bell,Spencer Treat Clark,Muse Watson,Louis Herthum,Judd Lormand,"$5,000,000.00","$15,100,000.00"
The Last Stand,18-01-2013,Action,Kim Ji-woon,,Arnold Schwarzenegger,Forest Whitaker,Peter Stormare,Jaimie Alexander,Rodrigo Santoro,"$45,000,000.00","$48,300,000.00"
The Last Witch Hunter,23-10-2015,Action,Breck Eisner,,Vin Diesel,Michael Caine,Rose Leslie,Elijah Wood,,"$90,000,000.00","$140,400,000.00"
The Lazarus Effect,27-02-2015,Horror,David Gelb,,Olivia Wilde,Mark Duplass,Donald Glover,,,"$3,300,000.00","$38,400,000.00"
The Legend of Hercules,10-01-2014,Action,Renny Harlin,,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam Garrigan,"$70,000,000.00","$61,300,000.00"
The Legend of Tarzan,01-07-2016,Action,David Yates,,Alexander Skarsgard,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,"$180,000,000.00","$352,700,000.00"
The Lego Movie,01-02-2014,Family,Phil Lord,Chris Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,"$60,000,000.00","$469,200,000.00"
The Letters,04-12-2015,Drama,William Riead,,Juliet Stevenson,Max von Sydow,Rutger Hauer,Priya Darshini,,"$1,000,000.00","$1,600,000.00"
The Lucky One,20-04-2012,Drama,Scott Hicks,,Zac Efron,Taylor Schilling,Jay R. Ferguson,Riley Thomas Stewart,Adam Lefevre,"$25,000,000.00","$99,400,000.00"
The Man from U.N.C.L.E.,07-08-2015,Action,Guy Ritchie,,Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,"$75,000,000.00","$109,800,000.00"
The Man with the Iron Fists,02-11-2012,Action,RZA,,Russell Crowe,Lucy Liu,David Bautista,RZA,Byron Mann,"$20,000,000.00","$20,300,000.00"
The Martian,11-09-2015,Sci-Fi,Ridley Scott,,Matt Damon,Jeff Daniels,Kristen Wiig,Sean Bean,Jessica Chastain,"$108,000,000.00","$630,200,000.00"
The Master,14-09-2012,Drama,Paul Thomas Anderson,,Philip Seymour Hoffman,Joaquin Phoenix,Jesse Plemons,David Warshofsky,Amy Adams,"$32,000,000.00","$28,300,000.00"
The Maze Runner,19-09-2014,Sci-Fi,Wes Ball,,Dylan O'Brien,Will Poulter,Thomas Sangster,Aml Ameen,Kaya Scodelario,"$34,000,000.00","$348,300,000.00"
The Mermaid,08-02-2016,Sci-Fi,Stephen Chow,,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,"$60,720,000.00","$553,800,000.00"
The Monuments Men,07-02-2014,Drama,George Clooney,,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,"$70,000,000.00","$155,000,000.00"
The Mortal Instruments: City of Bones,21-08-2013,Action,Harald Zwart,,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,"$60,000,000.00","$90,600,000.00"
The Night Before,20-11-2015,Comedy,Jonathan Levine,,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,,,"$25,000,000.00","$52,400,000.00"
The November Man,27-08-2014,Thriller,Roger Donaldson,,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,"$15,000,000.00","$34,800,000.00"
The Nut Job,11-01-2014,Family,Peter Lepeniotis,,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,"$42,800,000.00","$120,900,000.00"
The Oogieloves in the Big Balloon Adventure,29-08-2012,Family,Matthew Diamond,,Toni Braxton,Cloris Leachman,Christopher Lloyd,Chazz Palminteri,Cary Elwes,"$20,000,000.00","$1,100,000.00"
The Other Woman,31-03-2014,Comedy,Nick Cassavetes,,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Taylor Kinney,"$40,000,000.00","$196,700,000.00"
The Peanuts Movie,01-11-2015,Animation,Steve Martino,,Bill Melendez,Noah Schnapp,Hadley Belle Miller,AJ Teece,Noah Johnston,"$99,000,000.00","$246,200,000.00"
The Perfect Guy,02-09-2015,Thriller,David M. Rosenthal,,Sanaa Lathan,Michael Ealy,Morris Chestnut,,,"$18,000,000.00","$60,300,000.00"
The Perfect Match,11-03-2016,Romance,Bille Woodruff,,Terrence J,Cassie Ventura,Donald Faison,Dascha Polanco,Robert Christopher Riley,"$5,000,000.00","$10,400,000.00"
The Perks of Being a Wallflower,21-09-2012,Drama,Stephen Chbosky,,Emma Watson,Logan Lerman,Mae Whitman,Nina Dobrev,Johnny Simmons,"$13,000,000.00","$33,400,000.00"
The Pirates! Band of Misfits,27-04-2012,Comedy,Peter Lord,Jeff Newitt,Hugh Grant,Salma Hayek,Jeremy Piven,Imelda Staunton,David Tennant,"$55,000,000.00","$123,000,000.00"
The Place Beyond the Pines,29-03-2013,Crime,Derek Cianfrance,,Ryan Gosling,Bradley Cooper,Rose Byrne,Eva Mendes,Ray Liotta,"$15,000,000.00","$47,000,000.00"
The Possession,31-08-2012,Horror,Ole Bornedal,,Jeffrey Dean Morgan,Kyra Sedgwick,,,,"$14,000,000.00","$78,500,000.00"
The Purge,31-05-2013,Sci-Fi,James DeMonaco,,Ethan Hawke,Lena Headey,Max Burkholder,Tony Oller,Edwin Hodge,"$3,000,000.00","$89,300,000.00"
The Purge: Election Year,01-07-2016,Horror,James DeMonaco,,Frank Grillo,Betty Gabriel,Edwin Hodge,Kyle Secor,Joseph Julian Soria,"$10,000,000.00","$105,600,000.00"
The Raid 2,21-01-2014,Action,Gareth Evans,,Iko Uwais,Tio Pakusadewo,Arifin Putra,Julie Estelle,Alex Abbad,"$4,500,000.00","$6,600,000.00"
The Raid: Redemption â‚ª,23-03-2012,Action,Gareth Evans,,Iko Uwais,Doni Alamsyah,Joe Taslim,Yayan Ruhian,Ray Sahetapy,"$1,100,000.00","$9,140,000.00"
The Raven,27-04-2012,Thriller,James McTeigue,,John Cusack,Alice Eve,Luke Evans,Brendan Gleeson,Oliver Jackson-Cohen,"$26,000,000.00","$29,700,000.00"
The Revenant,25-12-2015,Thriller,Alejandro G. IÃ±Ã¡rritu,,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,,"$135,000,000.00","$533,000,000.00"
The Second Best Exotic Marigold Hotel,26-02-2015,Comedy,John Madden,,Judi Dench,Bill Nighy,Maggie Smith,Richard Gere,Celia Imrie,"$10,000,000.00","$86,000,000.00"
The Second Mother,25-01-2015,Drama,Anna Muylaert,,Regina CasÃ©,Michel Joelsas,Camila MÃ¡rdila,,,"$4,000,000.00","$6,200,000.00"
The Secret Life of Pets,08-07-2016,Adventure,Chris Renaud,Yarrow Cheney,Louis C.K.,Eric Stonestreet,Kevin Hart,Albert Brooks,Hannibal Buress,"$75,000,000.00","$724,900,000.00"
The Secret World of Arrietty,17-02-2012,Adventure,Gary Rydstrom,,Will Arnett,Amy Poehler,Carol Burnett,Bridgit Mendler,David Henrie,"$23,000,000.00","$145,600,000.00"
The Shallows,21-06-2016,Horror,Jaume Collet-Serra,,Blake Lively,Ã“scar Jaenada,,,,"$17,000,000.00","$93,200,000.00"
The Signal,20-01-2014,Sci-Fi,William Eubank,,Brenton Thwaites,Olivia Cooke,Sarah Clarke,Laurence Fishburne,,"$4,000,000.00","$2,420,000.00"
The Single Moms Club,14-03-2014,Comedy,Tyler Perry,,Tyler Perry,Nia Long,Wendi McLendon-Covey,Zulay Henao,Cocoa Brown,"$8,000,000.00","$16,300,000.00"
The Smurfs 2,31-07-2013,Adventure,Raja Gosnell,,Neil Patrick Harris,Jayma Mays,Hank Azaria,Tim Gunn,Brendan Gleeson,"$105,000,000.00","$347,500,000.00"
The Spectacular Now,02-08-2013,Drama,James Ponsoldt,,Miles Teller,Shailene Woodley,Kaitlyn Dever,Brie Larson,Dayo Okeniyi,"$2,500,000.00","$6,900,000.00"
The SpongeBob Movie: Sponge Out of Water,06-02-2015,Adventure,Paul Tibbitt,Jonathan Aibel,Paul Tibbitt (director),Jonathan Aibel,Glenn Berger(screenplay),Antonio Banderas,Tom Kenny,"$74,000,000.00","$323,400,000.00"
The Sweet Escape,10-06-2015,Comedy,Bruno PodalydÃ¨s,,Bruno PodalydÃ¨s,Sandrine Kiberlain,AgnÃ¨s Jaoui,Vimala Pons,,"$3,800,000.00","$3,300,000.00"
The Theory of Everything,07-09-2014,Biography,James Marsh,,Eddie Redmayne,Felicity Jones,,,,"$15,000,000.00","$123,700,000.00"
The Three Stooges,13-04-2012,Comedy,Bobby Farrelly,Peter Farrelly,Chris Diamantopoulos,Sean Hayes,Will Sasso,Jane Lynch,Larry David,"$30,000,000.00","$54,800,000.00"
The Transporter Refueled,04-09-2015,Action,Camille Delamarre,,Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright,,"$25,000,000.00","$72,600,000.00"
The Twilight Saga: Breaking Dawn â€“ Part 2,16-11-2012,Fantasy,Bill Condon,,Kristen Stewart,Robert Pattinson,Michael Sheen,Mackenzie Foy,Billy Burke,"$120,000,000.00","$829,700,000.00"
The Vatican Tapes,25-07-2015,Horror,Mark Neveldine,,Kathleen Robertson,Michael PeÃ±a,Djimon Hounsou,Dougray Scott,John Patrick Amedori,"$13,000,000.00","$13,500,000.00"
The Visit,08-09-2015,Horror,M. Night Shyamalan,,Kathryn Hahn,Ed Oxenbould,Deanna Dunagan,Peter McRobbie,Olivia DeJonge,"$5,000,000.00","$98,500,000.00"
The Walk,30-09-2015,Biography,Robert Zemeckis,,Joseph Gordon-Levitt,Ben Kingsley,James Badge Dale,Charlotte Le Bon,,"$45,000,000.00","$61,200,000.00"
The Watch,27-07-2012,Comedy,Akiva Schaffer,,Ben Stiller,Vince Vaughn,Rosemarie DeWitt,Jonah Hill,Richard Ayoade,"$68,000,000.00","$68,300,000.00"
The Water Diviner,26-12-2014,Drama,Russell Crowe,,Cem YÄ±lmaz,Miyavi,YÄ±lmaz ErdoÄŸan,,,"$22,500,000.00","$30,800,000.00"
"The Way, Way Back",05-07-2013,Comedy,Nat Faxon,Jim Rash,Steve Carell,Toni Collette,Allison Janney,AnnaSophia Robb,Sam Rockwell,"$5,000,000.00","$5,000,000.00"
The Wedding Ringer,16-01-2015,Romance,Jeremy Garelick,,Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby,Alan Ritchson,"$23,000,000.00","$79,800,000.00"
The Witch,27-01-2016,Horror,Robert Eggers,,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,,,"$3,000,000.00","$40,400,000.00"
The Wolverine,24-07-2013,Action,James Mangold,,Hugh Jackman,Famke Janssen,Hiroyuki Sanada,Hal Yamanouchi,Tao Okamoto,"$120,000,000.00","$414,800,000.00"
